A7AF : LDA 31         : A=FA X=29 Y=FF SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 7A-8A:FA000000:00:00 = +1.00000000E+03 : FWB ??-??:????????:??:?? = ???????????????
A7B1 : EOR 2E         : A=80 X=29 Y=FF SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 7A-8A:FA000000:00:00 = +1.00000000E+03 : FWB ??-??:????????:??:?? = ???????????????
A7B3 : BMI A7CD       : A=80 X=29 Y=FF SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 7A-8A:FA000000:00:00 = +1.00000000E+03 : FWB ??-??:????????:??:?? = ???????????????
A7CD : LDY #80        : A=80 X=29 Y=80 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 7A-8A:FA000000:00:00 = +1.00000000E+03 : FWB ??-??:????????:??:?? = ???????????????
A7CF : LDX 30         : A=80 X=8A Y=80 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 7A-8A:FA000000:00:00 = +1.00000000E+03 : FWB ??-??:????????:??:?? = ???????????????
A7D1 : BEQ A7DB       : A=80 X=8A Y=80 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 7A-8A:FA000000:00:00 = +1.00000000E+03 : FWB ??-??:????????:??:?? = ???????????????
A7D3 : LDA 31         : A=FA X=8A Y=80 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 7A-8A:FA000000:00:00 = +1.00000000E+03 : FWB ??-??:????????:??:?? = ???????????????
A7D5 : CMP #B5        : A=FA X=8A Y=80 SP=?? N=0 V=0 D=0 I=0 Z=0 C=1 : FWA 7A-8A:FA000000:00:00 = +1.00000000E+03 : FWB ??-??:????????:??:?? = ???????????????
A7D7 : BCS A7DB       : A=FA X=8A Y=80 SP=?? N=0 V=0 D=0 I=0 Z=0 C=1 : FWA 7A-8A:FA000000:00:00 = +1.00000000E+03 : FWB ??-??:????????:??:?? = ???????????????
A7DB : PHX            : A=FA X=8A Y=80 SP=?? N=0 V=0 D=0 I=0 Z=0 C=1 : FWA 7A-8A:FA000000:00:00 = +1.00000000E+03 : FWB ??-??:????????:??:?? = ???????????????
A7DC : STY 30         : A=FA X=8A Y=80 SP=?? N=0 V=0 D=0 I=0 Z=0 C=1 : FWA 7A-80:FA000000:00:00 = +9.76562500E-01 : FWB ??-??:????????:??:?? = ???????????????
