A7AF : LDA 31         : A=E1 X=29 Y=FF SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 61-8A:E1000000:00:00 = +9.00000000E+02 : FWB 04-??:????????:??:?? = ???????????????
A7B1 : EOR 2E         : A=80 X=29 Y=FF SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 61-8A:E1000000:00:00 = +9.00000000E+02 : FWB 04-??:????????:??:?? = ???????????????
A7B3 : BMI A7CD       : A=80 X=29 Y=FF SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 61-8A:E1000000:00:00 = +9.00000000E+02 : FWB 04-??:????????:??:?? = ???????????????
A7CD : LDY #80        : A=80 X=29 Y=80 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 61-8A:E1000000:00:00 = +9.00000000E+02 : FWB 04-??:????????:??:?? = ???????????????
A7CF : LDX 30         : A=80 X=8A Y=80 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 61-8A:E1000000:00:00 = +9.00000000E+02 : FWB 04-??:????????:??:?? = ???????????????
A7D1 : BEQ A7DB       : A=80 X=8A Y=80 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 61-8A:E1000000:00:00 = +9.00000000E+02 : FWB 04-??:????????:??:?? = ???????????????
A7D3 : LDA 31         : A=E1 X=8A Y=80 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 61-8A:E1000000:00:00 = +9.00000000E+02 : FWB 04-??:????????:??:?? = ???????????????
A7D5 : CMP #B5        : A=E1 X=8A Y=80 SP=?? N=0 V=0 D=0 I=0 Z=0 C=1 : FWA 61-8A:E1000000:00:00 = +9.00000000E+02 : FWB 04-??:????????:??:?? = ???????????????
A7D7 : BCS A7DB       : A=E1 X=8A Y=80 SP=?? N=0 V=0 D=0 I=0 Z=0 C=1 : FWA 61-8A:E1000000:00:00 = +9.00000000E+02 : FWB 04-??:????????:??:?? = ???????????????
A7DB : PHX            : A=E1 X=8A Y=80 SP=?? N=0 V=0 D=0 I=0 Z=0 C=1 : FWA 61-8A:E1000000:00:00 = +9.00000000E+02 : FWB 04-??:????????:??:?? = ???????????????
A7DC : STY 30         : A=E1 X=8A Y=80 SP=?? N=0 V=0 D=0 I=0 Z=0 C=1 : FWA 61-80:E1000000:00:00 = +8.78906250E-01 : FWB 04-??:????????:??:?? = ???????????????
A7DE : JSR A5E3       : A=E1 X=8A Y=80 SP=?? N=0 V=0 D=0 I=0 Z=0 C=1 : FWA 61-80:E1000000:00:00 = +8.78906250E-01 : FWB 04-??:????????:??:?? = ???????????????
A5E3 : JSR A5CC       : A=E1 X=8A Y=80 SP=?? N=0 V=0 D=0 I=0 Z=0 C=1 : FWA 61-80:E1000000:00:00 = +8.78906250E-01 : FWB 04-??:????????:??:?? = ???????????????
A5CC : JSR AD10       : A=E1 X=8A Y=80 SP=?? N=0 V=0 D=0 I=0 Z=0 C=1 : FWA 61-80:E1000000:00:00 = +8.78906250E-01 : FWB 04-??:????????:??:?? = ???????????????
AD10 : LDA 31         : A=E1 X=8A Y=80 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 61-80:E1000000:00:00 = +8.78906250E-01 : FWB 04-??:????????:??:?? = ???????????????
AD12 : EOR 2E         : A=80 X=8A Y=80 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 61-80:E1000000:00:00 = +8.78906250E-01 : FWB 04-??:????????:??:?? = ???????????????
AD14 : STA 2E         : A=80 X=8A Y=80 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 04-??:????????:??:?? = ???????????????
AD16 : LDA #FF        : A=FF X=8A Y=80 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 04-??:????????:??:?? = ???????????????
AD18 : RTS            : A=FF X=8A Y=80 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 04-??:????????:??:?? = ???????????????
A5CF : STZ 3B         : A=FF X=8A Y=80 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-??:????????:??:?? = ???????????????
A5D1 : LDY #80        : A=FF X=8A Y=80 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-??:????????:??:?? = ???????????????
A5D3 : STY 3D         : A=FF X=8A Y=80 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-??:80??????:??:?? = ???????????????
A5D5 : INY            : A=FF X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-??:80??????:??:?? = ???????????????
A5D6 : STY 3C         : A=FF X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80??????:??:?? = ???????????????
A5D8 : STZ 3E         : A=FF X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:8000????:??:?? = ???????????????
A5DA : STZ 3F         : A=FF X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:800000??:??:?? = ???????????????
A5DC : STZ 40         : A=FF X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:??:?? = ???????????????
A5DE : STZ 41         : A=FF X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
A5E0 : JMP A70F       : A=FF X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
A70F : JSR 8429       : A=FF X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8429 : LDA 31         : A=E1 X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
842B : BEQ 840A       : A=E1 X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
842D : SEC            : A=E1 X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
842E : LDA 30         : A=80 X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8430 : SBC 3C         : A=FF X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8432 : BEQ 84A3       : A=FF X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8434 : BCC 846A       : A=FF X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
846A : EOR #FF        : A=00 X=8A Y=81 SP=?? N=0 V=0 D=0 I=0 Z=1 C=0 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
846C : INC A          : A=01 X=8A Y=81 SP=?? N=0 V=0 D=0 I=0 Z=0 C=0 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
846D : CMP #25        : A=01 X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
846F : BCS 840A       : A=01 X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8471 : LDY 3C         : A=01 X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-80:E1000000:00:00 = -8.78906250E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8473 : STY 30         : A=01 X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:E1000000:00:00 = -1.75781250E+00 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8475 : TAY            : A=01 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:E1000000:00:00 = -1.75781250E+00 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8476 : AND #38        : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=0 : FWA 80-81:E1000000:00:00 = -1.75781250E+00 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8478 : BEQ 8491       : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=0 : FWA 80-81:E1000000:00:00 = -1.75781250E+00 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8491 : TYA            : A=01 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:E1000000:00:00 = -1.75781250E+00 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8492 : AND #07        : A=01 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:E1000000:00:00 = -1.75781250E+00 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8494 : BEQ 84A3       : A=01 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:E1000000:00:00 = -1.75781250E+00 : FWB 00-81:80000000:00:?? = +1.00000000E+00
